Entity,,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,,Aggregate,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Aggregate,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,,Total,Anonymous,Verified,Anonymous,Email_password,Penn_key_sso,Penn_mpm_sso,Penn_sso,Total,Mild,Moderate,Severe,No,Yes,Total,Clinical,Sub-clinical,Care_manager,Chaplain,Clinician,Coach,Other,Peer,Psychiatrist,Undefined,Total,Total,App,Article,External_blog_post,Fact_sheet,Hands_on_activities_for_you_and_your_child,Informational_handout,Podcast,Resource_guide,Video,Webinar_series,Worksheet
year,month,has_screen_sess,has_appt,has_group_res,has_content_views,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,7,0,0,1,1,11.0,1.0,10.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,11.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0
2020,7,0,1,0,0,37.0,30.0,7.0,30.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,30.0,42.0,0.0,0.0,22.0,42.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7,0,1,0,1,5.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0
2020,7,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7,1,0,0,0,51.0,19.0,32.0,19.0,0.0,5.0,0.0,27.0,48.0,20.0,22.0,6.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7,1,0,0,1,5.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,11.0,5.0,5.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,10.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0
2020,7,1,0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020,7,1,1,0,0,53.0,12.0,41.0,12.0,0.0,5.0,0.0,36.0,55.0,21.0,29.0,5.0,48.0,7.0,121.0,102.0,19.0,0.0,0.0,80.0,17.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7,1,1,0,1,11.0,1.0,10.0,1.0,0.0,2.0,0.0,8.0,11.0,4.0,5.0,2.0,10.0,1.0,21.0,17.0,4.0,0.0,0.0,11.0,4.0,0.0,0.0,6.0,0.0,0.0,21.0,0.0,13.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
2020,7,1,1,1,0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7,1,1,1,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,4.0,0.0,5.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
